timestamp,symbol,action,price,amount,trade_value,atr,net_flow,tp_price,sl_price,reason,realized_pnl,actual_balance,effective_balance
2026-04-01 20:49:47,STO/USDT:USDT,LIVE_LONG_ENTRY,0.3332,586.0,195.26,0.0171,14213.0,0.35879,0.31614,,,1446.98,1000.0
2026-04-01 20:49:50,NOM/USDT:USDT,LIVE_LONG_ENTRY,0.00627,65020.0,407.68,0.0002,967390.0,0.006501,0.006116,,,1446.98,1000.0
2026-04-01 20:49:53,ALGO/USDT:USDT,LIVE_LONG_ENTRY,0.10963,9009.0,987.66,0.0011,90645.6,0.1113,0.10852,,,1431.07,1000.0
2026-04-01 20:51:54,STO/USDT:USDT,LIVE_LONG_EXIT_NATIVE,0.33013,586.0,,,,,,Bybit Native TP/SL,-1.799,1331.27,
2026-04-01 20:51:56,NOM/USDT:USDT,SYNC_SL,0.006271,,,,,,,Trailing/BE,,,
